RK,Player,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
-,Tony BradleyIND,C,14,8.1,4.4,2.1,3.2,64.4,0.1,0.2,33.3,0.1,0.4,33.3,3.0,0.4,0.1,0.6,0.4,1,0
-,Jevon CarterCHI,PG,36,8.9,4.3,1.5,4.1,37.7,1.0,2.9,33.3,0.2,0.3,80.0,1.1,1.1,0.4,0.1,0.3,0,0
-,Dominick BarlowATL,F,35,10.7,4.2,1.7,3.2,53.1,0.2,0.8,25.9,0.6,0.9,63.6,2.4,0.5,0.3,0.5,0.1,1,0
-,Wendell Moore Jr.DET/CHA,G,36,13.9,4.2,1.6,3.5,46.8,0.4,1.1,34.1,0.5,0.6,81.8,2.6,1.2,0.6,0.1,0.8,1,0
-,Torrey CraigBOS/CHI,SF,26,12.1,4.2,1.5,3.5,42.2,0.9,2.5,36.4,0.3,0.5,66.7,2.8,0.7,0.3,0.5,0.3,0,0
-,Caleb HoustanORL,G,58,13.6,4.1,1.4,3.3,42.1,1.1,2.8,40.0,0.3,0.3,88.2,1.3,0.6,0.4,0.1,0.2,0,0
-,Paul ReedDET,F,45,9.7,4.1,1.6,3.2,50.7,0.2,0.6,28.6,0.7,0.9,76.2,2.7,1.0,0.9,0.6,0.6,0,0
-,Josh RichardsonMIA,SG,8,18.6,4.0,1.4,4.8,28.9,0.8,2.8,27.3,0.5,0.5,100.0,1.5,1.5,1.0,0.1,1.0,0,0
-,Malachi FlynnCHA,PG,4,11.0,4.0,1.3,3.3,38.5,0.3,1.0,25.0,1.3,1.5,83.3,1.8,1.8,0.8,0.0,1.0,0,0
-,Ron Harper Jr.DET,G,1,17.0,4.0,1.0,8.0,12.5,0.0,6.0,0.0,2.0,2.0,100.0,7.0,2.0,0.0,0.0,0.0,0,0
-,Kyle LowryPHI,PG,35,18.8,3.9,1.2,3.3,35.0,0.8,2.5,33.0,0.8,0.9,81.8,1.9,2.7,0.9,0.3,0.6,0,0
-,Emoni BatesCLE,F,10,7.5,3.7,1.3,3.8,34.2,1.1,3.0,36.7,0.0,0.0,0.0,0.7,0.8,0.1,0.1,0.2,0,0
